		Centro	OrdCliente	Planj.MRP	Ordem	Material	Texto breve material	InícProgr.	Fim prog.	FimProgOri	 Qtd.teór.	Qtd.forn.	Qtd. Pend.	Texto da ordem	Mot Atraso	Descrição	Conc Ordem
		1109		100	1132909018	18155169	ENGR ROSCA SEM FIM S04 33 DENTES	24.01.2025	27.01.2025	27.01.2025	        5	       3	        2		0013	Usinagem de fundidos - ATRASO	21.02.2025
		1109		011	1133091515	16071877	EIXO SAIDA OS GS75 60X33	04.12.2024	27.01.2025	13.03.2025	        2	       0	        2	OP liberada em atraso devido ao refugo na OP 1132565617 - Paola F, 07.02 Entregue ao corte por Gilnei 07/02 as 07:33
	*								27.01.2025		        7	       3	        4
		1109		020	1132729252	15986363	EIXO RSF VAZ/MAC M07 1 DENTE	19.12.2024	28.01.2025	28.01.2025	        4	       0	        4	OP ENTREGUE NO CORTE 17/12 AS 15:00 POR MARCELO OP relida, troca de ct 500 para DMG 25 E 386 - Paola F. 17.12 OP relida, alterado CT 386 para 500 - Maira 27.01	0012	Usinagem de Eixos - ATRASO	21.02.2025
		1109		010	1132748651	15914850	EIXO ENTRADA	27.01.2025	28.01.2025	30.01.2025	        5	       0	        5	op entregue no corte 06/01 as 07:00 por Marcelo	0012	Usinagem de Eixos - ATRASO	11.02.2025
	*								28.01.2025		        9	       0	        9
		1109		020	1132713744	15920314	EIXO RSF VAZ 3 DENTES	19.12.2024	29.01.2025	29.01.2025	       10	       0	       10	OP ENTREGUE NO CORTE 17/12 AS 08:00 POR mARCELO	0167	Usinagem Pinhão - ATRASO	21.02.2025
		1109		020	1132728589	15954122	PINHAO CIL 1 014 ASSENTO DIAM 09 USIN	20.12.2024	29.01.2025	29.01.2025	       25	       0	       25	Seq. Maq. 91130003   Seq1. 1,0000   Seq2. EIXO_PINHAO   Seq3. DIAMETRO ASSENTO 9,00 OPENTREGUE NO CORTE 18/12 AS 13:00 POR MARCELO	0101	Manutenção  - ATRASO	17.03.2025
		1109		020	1132729254	15954229	PINHAO CIL 1 014 ASSENTO DIAM 09 USIN	20.12.2024	29.01.2025	29.01.2025	        4	       0	        4	OPENTREGUE NO CORTE 18/12 AS 13:00 POR MARCELO	0167	Usinagem Pinhão - ATRASO	14.03.2025
		1109		020	1132731667	15984762	EIXO RSF FUR M04 1 DENTE	19.12.2024	29.01.2025	29.01.2025	        1	       0	        1	OP ENTREGUE NO CORTE 17/12 AS 15:00 POR MARCELO	0012	Usinagem de Eixos - ATRASO	28.02.2025
		1109		010	1132739197	15952019	EIXO ENTRADA	13.01.2025	29.01.2025	29.01.2025	        5	       0	        5	OP ENTREGUE NO CORTE 19/12/24 AS 14:00 POR MARCELO	0012	Usinagem de Eixos - ATRASO	28.02.2025
		1109		040	1132921777	15967320	FLANGE ENTR IEC 210	27.01.2025	29.01.2025	29.01.2025	       10	       0	       10		0013	Usinagem de fundidos - ATRASO	21.02.2025
	*								29.01.2025		       55	       0	       55
		1109		020	1132713745	15955177	EIXO PINHAO IMP 1,75 Z013	19.12.2024	30.01.2025	30.01.2025	       25	       0	       25	Seq. Maq. 91130004   Seq1. 1,7500   Seq2. EIXO_PINHAO   Seq3. DIAMETRO ASSENTO 20,00 OP ENTREGUE NO CORTE 17/12 AS 08:00 POR mARCELO	0101	Manutenção  - ATRASO	07.03.2025
		1109		020	1132729250	15923751	EIXO RSF MAC 1 DENTE	20.12.2024	30.01.2025	30.01.2025	        2	       0	        2	OPENTREGUE NO CORTE 18/12 AS 13:00 POR MARCELO	0167	Usinagem Pinhão - ATRASO	11.02.2025
		1109		020	1132738956	15923615	EIXO RSF MAC 2 DENTES	20.12.2024	30.01.2025	30.01.2025	        2	       0	        2	OP ENTREGUE NO CORTE 18/12 AS 14:30 POR MARCELO	0167	Usinagem Pinhão - ATRASO	11.02.2025
